"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","eta","nuovi_casi","casi_totali","tipo_infezione"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"<=14",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"15-44",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"45-64",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"65-74",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,">=75",1,1,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"<=14",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"15-44",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"45-64",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,"65-74",0,0,"neuroinvasiva"
2012-09-27,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,">=75",2,2,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"<=14",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"15-44",1,1,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"45-64",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,"65-74",0,0,"neuroinvasiva"
2012-09-27,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,">=75",0,0,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"<=14",0,0,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"15-44",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"45-64",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,"65-74",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,">=75",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"<=14",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"15-44",1,1,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"45-64",3,3,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,"65-74",3,3,"neuroinvasiva"
2012-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,">=75",6,6,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"<=14",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"15-44",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"45-64",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,"65-74",0,0,"neuroinvasiva"
2012-10-04,6,"Friuli Venezia Giulia",31,"Gorizia","GO",45.94149817,13.62212502,">=75",0,1,"neuroinvasiva"
