"age","sex","cases"
"0-14","Female",13
"15-17","Female",8
"18-30","Female",181
"31-40","Female",122
"41-50","Female",81
"51-60","Female",19
"60+","Female",11
"0-14","Male",20
"15-17","Male",46
"18-30","Male",6302
"31-40","Male",9984
"41-50","Male",5982
"51-60","Male",2284
"60+","Male",554
